model,n_params,grad_var_at_n12,param_efficiency
B3-Layer,48,0.0022514126437353757,4.6904430077820325e-05
QCN,96,0.0011714923526003453,1.220304533958693e-04
B5-ResQNet,96,0.00029512177246667436,3.0741851298611914e-06
B2-qMPS,176,9.475775347162649e-06,5.383963265433323e-08
B6-Global,48,2.5681917363558606e-07,5.350399450741376e-09
B7-Glob96,96,3.72022632588449e-07,3.875235756129677e-09
