model,init_strategy,seed,gradient
B2-qMPS,narrow,14,5.1854423530812205e-06
B2-qMPS,narrow,15,-5.786891911292038e-07
B2-qMPS,narrow,16,0.0001590209182718459
B2-qMPS,narrow,17,0.0008455408050788522
B2-qMPS,narrow,18,-0.00011086215633617622
B2-qMPS,narrow,19,-4.4849328751737046e-05
B2-qMPS,narrow,20,-3.62696593148271e-06
B2-qMPS,narrow,21,7.535939917546546e-06
B2-qMPS,narrow,22,0.00044769180660544466
B2-qMPS,narrow,23,-0.00044969472339643243
B2-qMPS,narrow,24,-5.681118520788198e-05
B2-qMPS,identity,0,0.0
B2-qMPS,identity,1,0.0
B2-qMPS,identity,2,0.0
B2-qMPS,identity,3,0.0
B2-qMPS,identity,4,0.0
B2-qMPS,identity,5,0.0
B2-qMPS,identity,6,0.0
B2-qMPS,identity,7,0.0
B2-qMPS,identity,8,0.0
B2-qMPS,identity,9,0.0
B2-qMPS,identity,10,0.0
B2-qMPS,identity,11,0.0
B2-qMPS,identity,12,0.0
B2-qMPS,identity,13,0.0
B2-qMPS,identity,14,0.0
B2-qMPS,identity,15,0.0
B2-qMPS,identity,16,0.0
B2-qMPS,identity,17,0.0
B2-qMPS,identity,18,0.0
B2-qMPS,identity,19,0.0
B2-qMPS,identity,20,0.0
B2-qMPS,identity,21,0.0
B2-qMPS,identity,22,0.0
B2-qMPS,identity,23,0.0
B2-qMPS,identity,24,0.0
B2-qMPS,normal,0,-0.00039985904244626164
B2-qMPS,normal,1,4.425408615393073e-05
B2-qMPS,normal,2,0.0006986044243154282
B2-qMPS,normal,3,-3.547425954256307e-05
B2-qMPS,normal,4,0.006051412480358604
B2-qMPS,normal,5,0.003295574375081664
B2-qMPS,normal,6,0.00022666884053408235
B2-qMPS,normal,7,-0.0008578788437250015
B2-qMPS,normal,8,-0.0005149763969222223
B2-qMPS,normal,9,-2.061387745151316e-06
B2-qMPS,normal,10,0.00015246146894627697
B2-qMPS,normal,11,0.002498743170232053
B2-qMPS,normal,12,0.0021605765698793624
B2-qMPS,normal,13,-0.006787061453252015
B2-qMPS,normal,14,-1.0525968264228309e-05
B2-qMPS,normal,15,-1.0155164992665919e-06
B2-qMPS,normal,16,0.00028746946096682444
B2-qMPS,normal,17,0.0006317578243725377
B2-qMPS,normal,18,-0.0035042493967513025
B2-qMPS,normal,19,-2.5007199775948154e-05
B2-qMPS,normal,20,-0.00030158600357136457
B2-qMPS,normal,21,0.001764534240005408
B2-qMPS,normal,22,0.0005222741494396288
B2-qMPS,normal,23,-5.298795968312725e-05
B2-qMPS,normal,24,-0.00015156670502332122
B3-Layer,uniform,0,0.07807174567304989
B3-Layer,uniform,1,-0.00591899274619351
B3-Layer,uniform,2,0.03129060310812906
B3-Layer,uniform,3,-0.04041316508451518
B3-Layer,uniform,4,0.0003024225545785754
B3-Layer,uniform,5,0.022662233642725307
B3-Layer,uniform,6,-0.022190830545408654
B3-Layer,uniform,7,-0.04432426034176995
B3-Layer,uniform,8,-0.0027072003485843453
B3-Layer,uniform,9,0.017200700053105405
B3-Layer,uniform,10,0.0005559680763146232
B3-Layer,uniform,11,0.06848718013274904
B3-Layer,uniform,12,-0.07981519083524373
B3-Layer,uniform,13,-0.049402354118185755
B3-Layer,uniform,14,-0.0005519251469798317
B3-Layer,uniform,15,-0.06290313087004974
B3-Layer,uniform,16,-0.017911982156052192
B3-Layer,uniform,17,-0.02086324322086475
B3-Layer,uniform,18,-0.06289542454574103
B3-Layer,uniform,19,-0.06532613563540642
B3-Layer,uniform,20,0.020016937312662453
B3-Layer,uniform,21,-0.053400554391050105
B3-Layer,uniform,22,0.025277301779562538
B3-Layer,uniform,23,0.005514073668878594
B3-Layer,uniform,24,0.08128174996994823
B3-Layer,narrow,0,0.030474072857566946
B3-Layer,narrow,1,0.07920286194507402
