cap_size,n_qubits,grad_var_mean,grad_var_std
2,6,0.003461175057757371,0.0009254188340284356
2,8,0.0029001557938777363,0.0007176249420241616
2,10,0.0015827897176849683,0.0003440118179671282
2,12,0.0011714923526003472,0.00020826701785932802
2,14,0.0005162778911292767,0.00010783966079373888
2,16,0.0006366527526470506,0.0002467890965811708
2,18,0.0007668544075598785,0.00014862001064634434
2,20,0.00042317142076473286,0.00011459215374862194
3,6,0.0047368641787625095,0.0022655613098722925
3,12,0.0006648549309237387,0.00040418029759541275
3,18,0.00029572391337924286,5.374526803758055e-05
4,8,0.0005195811374840152,0.0003666834845812755
4,12,0.0005400369366108739,7.832877471146952e-05
4,16,0.00037659438999603135,7.067372024462602e-05
4,20,5.286905194877283e-05,1.1520243198895648e-05
5,10,0.0008800597495036484,0.0006445626360895652
5,20,8.003603151330041e-05,4.2030884177712575e-05
6,6,0.002618970308209619,0.0019776885967066854
6,12,0.0005914814635128519,0.0005321272211393064
6,18,0.00020205514156747189,0.00011517178199436562
9,18,0.0003686695958615683,0.00015818170742969514
