,Capsule_0,Capsule_1,Capsule_2,Capsule_3
Capsule_0,1.0,0.2120342661953709,0.21545583863961812,0.2435601213195671
Capsule_1,0.2120342661953709,1.0,-0.07143936950457427,0.06993614550422794
Capsule_2,0.21545583863961812,-0.07143936950457427,1.0,-0.19065291162151785
Capsule_3,0.2435601213195671,0.06993614550422794,-0.19065291162151785,1.0
