Epoch,Grad_Var_Mean,Grad_Var_Std
1,0.004608678929135353,0.009193565600018563
2,0.00400066679788041,0.008200202368612255
3,0.004584090303673983,0.01046599989493259
4,0.004054537167237778,0.009010973025744745
5,0.004029709062427744,0.009737352220369784
6,0.004065548976666266,0.011793865229875055
7,0.004435171412539195,0.011190088077714922
8,0.002947291515324401,0.006550328553553106
9,0.004360031128005035,0.010734456092727798
10,0.003727472630966814,0.00945927806560445
11,0.0033416529695824712,0.008346315440784052
12,0.003436219596957994,0.008394826474312608
13,0.004203920549248698,0.010652720145903315
14,0.0035041565609030957,0.008650998928260371
15,0.0027037246684177107,0.007246515345879148
16,0.004120639947034116,0.00970107525478969
17,0.0029852571558040544,0.007110944211114998
18,0.0037098935802199417,0.009416805916453969
19,0.004528948925473607,0.01151733489267431
20,0.004353335367824636,0.012052155531185542
21,0.004318511382439137,0.010875984688987836
22,0.0034891600986682245,0.007896042623469225
23,0.0028388012681001204,0.006377542189012925
24,0.0030428902068693224,0.007598469233878677
25,0.0033306205812033618,0.00866657491525328
26,0.0036192596374289574,0.008887357889898043
27,0.004540695223968354,0.01005213439902614
28,0.0028562771552198543,0.007413116402430945
29,0.004016322033586661,0.010177650640190892
30,0.004371378212111097,0.010225071097970034
