model,theta1,theta2,cost
QCN,2.879793,0.785398,0.23156174356319295
QCN,3.141593,0.785398,0.23009683176537934
QCN,3.403392,0.785398,0.2219261351660791
QCN,3.665191,0.785398,0.2081188630942381
QCN,3.926991,0.785398,0.19041289107837053
QCN,4.18879,0.785398,0.17088279001329906
QCN,4.45059,0.785398,0.1515658842523569
QCN,4.712389,0.785398,0.13413413730448168
QCN,4.974188,0.785398,0.11968494140319973
QCN,5.235988,0.785398,0.10869059551234005
QCN,5.497787,0.785398,0.10110341338093458
QCN,5.759587,0.785398,0.09657251077038377
QCN,6.021386,0.785398,0.09470028096515999
QCN,6.283185,0.785398,0.09525876502845677
QCN,0.0,1.047198,0.07772490113199444
QCN,0.261799,1.047198,0.07872641136288455
QCN,0.523599,1.047198,0.08128139714514195
QCN,0.785398,1.047198,0.08645313879865991
QCN,1.047198,1.047198,0.0952972856396249
QCN,1.308997,1.047198,0.10841261731591449
QCN,1.570796,1.047198,0.125578298713224
QCN,1.832596,1.047198,0.14558861227276165
QCN,2.094395,1.047198,0.1663447462962093
QCN,2.356194,1.047198,0.18519480617236173
QCN,2.617994,1.047198,0.19944609650868952
QCN,2.879793,1.047198,0.2069259217806975
QCN,3.141593,1.047198,0.20645159119176926
QCN,3.403392,1.047198,0.19809133432686743
QCN,3.665191,1.047198,0.18315003077319914
QCN,3.926991,1.047198,0.16388330405491633
QCN,4.18879,1.047198,0.14301224472126448
QCN,4.45059,1.047198,0.12316067461422213
QCN,4.712389,1.047198,0.10635439849563667
QCN,4.974188,1.047198,0.09370283157011107
QCN,5.235988,1.047198,0.08533301531807413
QCN,5.497787,1.047198,0.08057794050668661
QCN,5.759587,1.047198,0.0783535626630452
QCN,6.021386,1.047198,0.07760997582179056
QCN,6.283185,1.047198,0.07772490113199447
QCN,0.0,1.308997,0.0816581416418092
QCN,0.261799,1.308997,0.08009828131250162
QCN,0.523599,1.308997,0.0778763178656315
QCN,0.785398,1.308997,0.07673757653666508
QCN,1.047198,1.308997,0.07861245134258417
QCN,1.308997,1.308997,0.08498839815403679
QCN,1.570796,1.308997,0.09637576867017102
QCN,1.832596,1.308997,0.11201985580059598
QCN,2.094395,1.308997,0.12994661212077602
QCN,2.356194,1.308997,0.14734045671432625
QCN,2.617994,1.308997,0.16116323713961153
QCN,2.879793,1.308997,0.1688577282635798
QCN,3.141593,1.308997,0.16895470129428117
QCN,3.403392,1.308997,0.16142622428816575
QCN,3.665191,1.308997,0.14769327925147632
QCN,3.926991,1.308997,0.13028564579222948
QCN,4.18879,1.308997,0.11224241604046971
QCN,4.45059,1.308997,0.09640843177622715
QCN,4.712389,1.308997,0.08480761479781172
QCN,4.974188,1.308997,0.0782518650028102
QCN,5.235988,1.308997,0.07628001716618966
QCN,5.497787,1.308997,0.07743254736085266
QCN,5.759587,1.308997,0.07977812188140766
QCN,6.021386,1.308997,0.08154166821022968
QCN,6.283185,1.308997,0.08165814164180922
QCN,0.0,1.570796,0.10625392447728405
QCN,0.261799,1.570796,0.10204046889305364
QCN,0.523599,1.570796,0.09458808373336286
QCN,0.785398,1.570796,0.08618400682245453
QCN,1.047198,1.570796,0.07948692486372277
QCN,1.308997,1.570796,0.07678685630017616
QCN,1.570796,1.570796,0.07935777243943563
QCN,1.832596,1.570796,0.08707872287896438
QCN,2.094395,1.570796,0.09842754095256241
QCN,2.356194,1.570796,0.11085145337206359
QCN,2.617994,1.570796,0.1214178282872561
QCN,2.879793,1.570796,0.12757296133445675
QCN,3.141593,1.570796,0.1278074242712479
QCN,3.403392,1.570796,0.12205098555224225
QCN,3.665191,1.570796,0.11169193361639435
QCN,3.926991,1.570796,0.0992155908252489
QCN,4.18879,1.570796,0.08755816207220014
QCN,4.45059,1.570796,0.07934770523692919
QCN,4.712389,1.570796,0.07623371548142766
QCN,4.974188,1.570796,0.07848265934513521
QCN,5.235988,1.570796,0.08494527836707583
QCN,5.497787,1.570796,0.09340178564962827
QCN,5.759587,1.570796,0.10118992144621643
QCN,6.021386,1.570796,0.1059453137978333
QCN,6.283185,1.570796,0.10625392447728409
QCN,0.0,1.832596,0.14515451233463972
QCN,0.261799,1.832596,0.13865981075442665
QCN,0.523599,1.832596,0.12669975960192995
QCN,0.785398,1.832596,0.11183755532022044
QCN,1.047198,1.832596,0.09713264143141297
QCN,1.308997,1.832596,0.08538382532500394
QCN,1.570796,1.832596,0.07845712204025736
QCN,1.832596,1.832596,0.07687312804615583
QCN,2.094395,1.832596,0.07975853369190256
QCN,2.356194,1.832596,0.08516856462915072
QCN,2.617994,1.832596,0.0906879273287556
QCN,2.879793,1.832596,0.09414379453492376
QCN,3.141593,1.832596,0.0942353019711968
QCN,3.403392,1.832596,0.09090766046997008
QCN,3.665191,1.832596,0.08536889952418586
QCN,3.926991,1.832596,0.07974461526101152
QCN,4.18879,1.832596,0.07646470221968306
QCN,4.45059,1.832596,0.07754937286264825
QCN,4.712389,1.832596,0.08399006131554032
QCN,4.974188,1.832596,0.09539639839108162
QCN,5.235988,1.832596,0.110009804843616
QCN,5.497787,1.832596,0.12508626245125173
QCN,5.759587,1.832596,0.13755172668178275
QCN,6.021386,1.832596,0.14476000493905836
QCN,6.283185,1.832596,0.1451545123346397
QCN,0.0,2.094395,0.18813668631186742
QCN,0.261799,2.094395,0.18012558375341806
QCN,0.523599,2.094395,0.16538479880486584
QCN,0.785398,2.094395,0.14642680687896495
QCN,1.047198,2.094395,0.12628859565774667
QCN,1.308997,2.094395,0.10785711952270209
QCN,1.570796,2.094395,0.093266730960263
QCN,1.832596,2.094395,0.08351839412712585
QCN,2.094395,2.094395,0.0784096880540185
QCN,2.356194,2.094395,0.07678084733847863
QCN,2.617994,2.094395,0.07699784292163882
QCN,2.879793,2.094395,0.07753131834637637
QCN,3.141593,2.094395,0.07746664029682275
QCN,3.403392,2.094395,0.07680156318724592
QCN,3.665191,2.094395,0.07644816493813351
QCN,3.926991,2.094395,0.07793844433495326
QCN,4.18879,2.094395,0.08291587316145974
QCN,4.45059,2.094395,0.09255581643544912
QCN,4.712389,2.094395,0.10707960580084104
QCN,4.974188,2.094395,0.1255041223020045
QCN,5.235988,2.094395,0.14570701157277627
QCN,5.497787,2.094395,0.16480356481739752
QCN,5.759587,2.094395,0.1797473516289492
QCN,6.021386,2.094395,0.18800540906526664
